customer_id,signup_date,region,acquisition_channel
10000,2023-01-24,North West,Email
10001,2023-01-18,North West,Paid Search
10002,2023-01-01,North West,Organic Search
10003,2023-01-20,North East,Organic Search
10004,2023-01-21,London,Paid Search
10005,2023-01-15,London,Email
10006,2023-01-01,South East,Organic Search
10007,2023-01-14,Midlands,Organic Search
10008,2023-01-25,Midlands,Organic Search
10009,2023-01-04,Midlands,Paid Search
10010,2023-01-09,South East,Social
10011,2023-01-18,North West,Referral
10012,2023-01-03,East,Email
10013,2023-01-20,South West,Paid Search
10014,2023-01-07,London,Organic Search
10015,2023-01-08,South East,Referral
10016,2023-01-28,Yorkshire,Organic Search
10017,2023-01-09,Midlands,Email
10018,2023-01-06,Midlands,Organic Search
10019,2023-01-09,London,Social
10020,2023-01-03,London,Organic Search
10021,2023-01-24,Yorkshire,Paid Search
10022,2023-01-09,Scotland,Social
10023,2023-01-18,North West,Organic Search
10024,2023-01-25,South East,Organic Search
10025,2023-01-02,South East,Paid Search
10026,2023-01-03,North West,Referral
10027,2023-01-23,Yorkshire,Social
10028,2023-01-13,South West,Social
10029,2023-01-05,Yorkshire,Organic Search
10030,2023-01-18,East,Email
10031,2023-01-14,South West,Paid Search
10032,2023-01-08,Wales,Organic Search
10033,2023-01-16,North West,Organic Search
10034,2023-01-04,North West,Organic Search
10035,2023-01-22,Midlands,Organic Search
10036,2023-01-13,London,Paid Search
10037,2023-01-09,Scotland,Email
10038,2023-01-01,London,Organic Search
10039,2023-01-18,South East,Email
10040,2023-01-11,North West,Paid Search
10041,2023-01-15,North East,Social
10042,2023-01-24,Yorkshire,Paid Search
10043,2023-01-06,East,Organic Search
10044,2023-01-21,Yorkshire,Social
10045,2023-01-20,North West,Paid Search
10046,2023-01-06,East,Email
10047,2023-01-17,South West,Social
10048,2023-01-16,North East,Referral
10049,2023-01-27,South East,Organic Search
10050,2023-01-08,South East,Referral
10051,2023-01-03,London,Email
10052,2023-01-25,East,Organic Search
10053,2023-01-22,Midlands,Paid Search
10054,2023-01-09,East,Social
10055,2023-01-07,South West,Email
10056,2023-01-23,North West,Organic Search
10057,2023-01-22,London,Paid Search
10058,2023-01-17,Midlands,Organic Search
10059,2023-01-03,Midlands,Social
10060,2023-01-08,London,Organic Search
10061,2023-01-23,London,Organic Search
10062,2023-01-02,South East,Organic Search
10063,2023-01-08,Yorkshire,Paid Search
10064,2023-01-18,North West,Referral
10065,2023-01-19,London,Organic Search
10066,2023-01-16,South East,Organic Search
10067,2023-01-04,London,Paid Search
10068,2023-01-14,Midlands,Social
10069,2023-01-22,London,Social
10070,2023-01-02,Midlands,Organic Search
10071,2023-01-28,North West,Organic Search
10072,2023-01-18,Midlands,Paid Search
10073,2023-01-09,Midlands,Email
10074,2023-01-03,Midlands,Email
