order_id,product_id,quantity,unit_price,unit_cost
500001,1039,2,35.5,14.75
500001,1040,1,62.95,29.03
500002,1024,1,135.79,99.24
500003,1077,1,26.11,17.33
500003,1003,1,16.76,10.43
500003,1054,1,16.0,7.32
500004,1047,1,32.59,16.27
500004,1033,2,23.67,11.3
500004,1051,1,18.62,9.33
500005,1081,2,18.92,13.34
500005,1023,2,97.84,76.62
500006,1043,1,31.33,16.1
500007,1006,3,53.62,29.31
500007,1013,1,79.75,62.38
500007,1050,1,9.96,5.12
500008,1077,3,26.11,17.33
500008,1044,2,36.15,17.97
500009,1001,2,48.84,28.89
500010,1023,3,97.84,76.62
500011,1019,1,158.0,121.76
500011,1037,3,54.45,25.62
500012,1057,3,70.96,47.26
500013,1061,1,46.83,26.77
500013,1084,2,6.83,4.87
500014,1051,1,18.62,9.33
500014,1017,2,203.45,168.48
500015,1049,1,9.78,4.51
500016,1022,2,89.29,71.91
500016,1035,1,58.01,24.53
500016,1012,1,35.71,21.89
500016,1011,2,27.91,15.76
500017,1064,1,23.03,14.31
500018,1066,1,31.67,19.0
500018,1081,1,18.92,13.34
500018,1049,1,9.78,4.51
500019,1000,1,31.83,20.13
500019,1068,2,62.19,40.12
500019,1001,1,48.84,28.89
500019,1013,1,79.75,62.38
500019,1060,2,84.27,56.39
500019,1075,1,24.53,16.28
500019,1066,1,31.67,19.0
500020,1063,3,85.08,56.56
500021,1010,2,43.12,23.21
500021,1022,1,89.29,71.91
500022,1001,3,48.84,28.89
500022,1034,2,20.06,9.91
500022,1057,2,70.96,47.26
500022,1017,1,203.45,168.48
500023,1052,1,36.77,17.46
500023,1033,3,23.67,11.3
500024,1054,1,16.0,7.32
500024,1009,2,34.56,19.21
500024,1018,2,96.7,69.36
500024,1014,1,143.17,101.54
500024,1021,2,53.05,44.77
500025,1032,1,31.28,14.2
500025,1029,2,18.46,8.02
500025,1061,1,46.83,26.77
500026,1055,3,17.87,8.33
500027,1075,1,24.53,16.28
500028,1068,3,62.19,40.12
500029,1044,1,36.15,17.97
500029,1081,2,18.92,13.34
500029,1021,2,53.05,44.77
500029,1047,1,32.59,16.27
500030,1065,2,54.43,31.87
500031,1016,1,58.01,49.31
500031,1015,2,145.62,106.1
500031,1071,1,16.14,10.85
500032,1032,1,31.28,14.2
500032,1046,1,32.28,16.34
500032,1034,3,20.06,9.91
500032,1006,1,53.62,29.31
500033,1054,2,16.0,7.32
500033,1032,1,31.28,14.2
500034,1047,2,32.59,16.27
500034,1036,2,16.3,7.8
500034,1083,1,12.54,8.23
500035,1018,2,96.7,69.36
500036,1009,3,34.56,19.21
500036,1014,1,143.17,101.54
500036,1017,1,203.45,168.48
500036,1024,2,135.79,99.24
500036,1019,2,158.0,121.76
500037,1057,2,70.96,47.26
500037,1036,1,16.3,7.8
500037,1068,1,62.19,40.12
500038,1079,3,10.85,7.94
500038,1010,1,43.12,23.21
500038,1057,3,70.96,47.26
500038,1056,1,93.62,61.62
500038,1050,1,9.96,5.12
500038,1026,2,67.11,32.58
500038,1031,2,61.08,26.7
500038,1037,2,54.45,25.62
500039,1003,3,16.76,10.43
500039,1024,1,135.79,99.24
500039,1071,1,16.14,10.85
500039,1068,1,62.19,40.12
500040,1021,2,53.05,44.77
500041,1060,2,84.27,56.39
500041,1045,1,12.66,6.6
500042,1007,2,22.65,12.31
500042,1008,1,28.48,16.6
500043,1049,1,9.78,4.51
500044,1005,1,14.98,9.5
500045,1081,2,18.92,13.34
500045,1024,1,135.79,99.24
500045,1004,1,42.61,25.74
500046,1029,2,18.46,8.02
500046,1041,2,19.13,8.73
500046,1069,1,50.32,34.14
500047,1018,1,96.7,69.36
500048,1029,1,18.46,8.02
500048,1042,2,18.52,8.94
500049,1039,1,35.5,14.75
500050,1081,2,18.92,13.34
500051,1050,1,9.96,5.12
500052,1064,1,23.03,14.31
500052,1036,3,16.3,7.8
500052,1065,1,54.43,31.87
500052,1008,1,28.48,16.6
500053,1044,1,36.15,17.97
500054,1035,3,58.01,24.53
500055,1046,1,32.28,16.34
500055,1033,2,23.67,11.3
500055,1054,3,16.0,7.32
500056,1068,3,62.19,40.12
500056,1026,2,67.11,32.58
500057,1060,1,84.27,56.39
500058,1070,3,96.13,56.64
500058,1013,1,79.75,62.38
500058,1001,3,48.84,28.89
500058,1082,1,7.84,5.86
500059,1076,2,8.96,6.26
500059,1015,1,145.62,106.1
500059,1018,1,96.7,69.36
500060,1065,1,54.43,31.87
500060,1084,2,6.83,4.87
500061,1068,2,62.19,40.12
500062,1072,2,11.81,7.5
500063,1075,2,24.53,16.28
500063,1067,2,94.63,56.6
500064,1019,2,158.0,121.76
500064,1076,1,8.96,6.26
500065,1040,1,62.95,29.03
500065,1061,2,46.83,26.77
500066,1017,1,203.45,168.48
500066,1061,1,46.83,26.77
500067,1057,3,70.96,47.26
500067,1017,1,203.45,168.48
500068,1029,2,18.46,8.02
500069,1011,2,27.91,15.76
500069,1076,3,8.96,6.26
500069,1069,1,50.32,34.14
500069,1048,1,25.0,12.32
500069,1032,2,31.28,14.2
500069,1022,1,89.29,71.91
500070,1026,2,67.11,32.58
500070,1071,2,16.14,10.85
500071,1075,1,24.53,16.28
500072,1030,3,37.14,15.95
500072,1072,1,11.81,7.5
500072,1013,2,79.75,62.38
500073,1082,1,7.84,5.86
500073,1084,1,6.83,4.87
500074,1020,1,67.21,52.37
500074,1072,1,11.81,7.5
500075,1022,1,89.29,71.91
500075,1066,2,31.67,19.0
500076,1006,1,53.62,29.31
500077,1071,1,16.14,10.85
500077,1027,1,48.53,23.68
500077,1021,1,53.05,44.77
500077,1018,1,96.7,69.36
500078,1014,2,143.17,101.54
500078,1001,1,48.84,28.89
500078,1023,2,97.84,76.62
500079,1000,3,31.83,20.13
500080,1066,2,31.67,19.0
500080,1049,1,9.78,4.51
500081,1048,3,25.0,12.32
500081,1014,1,143.17,101.54
500082,1065,2,54.43,31.87
500082,1080,1,13.5,9.7
500083,1071,1,16.14,10.85
500083,1061,2,46.83,26.77
500084,1015,1,145.62,106.1
500084,1001,1,48.84,28.89
500084,1070,3,96.13,56.64
500085,1037,3,54.45,25.62
500085,1024,1,135.79,99.24
500085,1047,1,32.59,16.27
500086,1011,2,27.91,15.76
500087,1030,1,37.14,15.95
500087,1070,1,96.13,56.64
500087,1037,2,54.45,25.62
500087,1040,2,62.95,29.03
500088,1010,1,43.12,23.21
500088,1075,3,24.53,16.28
500089,1035,1,58.01,24.53
500089,1053,3,21.56,11.33
500090,1039,2,35.5,14.75
500090,1052,1,36.77,17.46
500090,1075,3,24.53,16.28
500090,1040,1,62.95,29.03
500091,1012,3,35.71,21.89
500092,1002,1,21.43,11.57
500092,1058,2,83.98,48.8
500092,1051,3,18.62,9.33
500093,1035,1,58.01,24.53
500093,1042,3,18.52,8.94
500094,1075,2,24.53,16.28
500094,1048,2,25.0,12.32
500094,1056,1,93.62,61.62
500095,1005,1,14.98,9.5
500096,1049,2,9.78,4.51
500097,1011,2,27.91,15.76
500097,1009,1,34.56,19.21
500098,1050,1,9.96,5.12
500098,1047,1,32.59,16.27
500099,1011,1,27.91,15.76
500100,1028,2,20.81,8.8
500100,1036,1,16.3,7.8
500101,1057,1,70.96,47.26
500102,1012,1,35.71,21.89
500102,1051,1,18.62,9.33
500102,1078,3,19.71,14.52
500103,1060,1,84.27,56.39
500104,1078,2,19.71,14.52
500104,1001,3,48.84,28.89
500104,1047,1,32.59,16.27
500105,1070,2,96.13,56.64
500105,1025,2,68.75,32.64
500105,1037,1,54.45,25.62
500105,1018,3,96.7,69.36
500105,1048,1,25.0,12.32
500106,1072,2,11.81,7.5
500107,1051,1,18.62,9.33
500107,1020,1,67.21,52.37
500107,1049,2,9.78,4.51
500108,1067,1,94.63,56.6
500108,1029,1,18.46,8.02
500108,1069,1,50.32,34.14
500108,1055,1,17.87,8.33
500109,1066,1,31.67,19.0
500109,1081,1,18.92,13.34
500110,1060,1,84.27,56.39
