order_id,customer_id,order_date,status
500001,10000,2023-01-24,completed
500002,10000,2023-03-15,returned
500003,10000,2023-05-13,completed
500004,10000,2023-06-12,completed
500005,10001,2023-01-21,completed
500006,10001,2023-01-30,completed
500007,10001,2023-03-19,completed
500008,10001,2023-04-12,completed
500009,10002,2023-01-02,completed
500010,10003,2023-01-23,completed
500011,10003,2023-02-10,completed
500012,10003,2023-02-26,completed
500013,10004,2023-01-24,returned
500014,10004,2023-01-30,completed
500015,10005,2023-01-17,completed
500016,10006,2023-01-01,completed
500017,10006,2023-01-07,completed
500018,10007,2023-01-16,completed
500019,10007,2023-02-21,cancelled
500020,10008,2023-01-28,completed
500021,10009,2023-01-05,completed
500022,10010,2023-01-11,completed
500023,10010,2023-03-05,cancelled
500024,10011,2023-01-19,completed
500025,10012,2023-01-03,completed
500026,10012,2023-03-11,completed
500027,10012,2023-05-21,completed
500028,10012,2023-10-25,completed
500029,10013,2023-01-20,completed
500030,10013,2023-02-18,cancelled
500031,10013,2023-05-14,completed
500032,10014,2023-01-08,completed
500033,10014,2023-02-23,completed
500034,10014,2023-08-19,completed
500035,10014,2023-09-22,completed
500036,10015,2023-01-09,completed
500037,10015,2023-01-12,returned
500038,10016,2023-01-31,completed
500039,10017,2023-01-10,completed
500040,10017,2023-01-16,completed
500041,10017,2023-03-14,completed
500042,10018,2023-01-06,completed
500043,10018,2023-02-20,completed
500044,10018,2023-03-08,returned
500045,10018,2023-04-20,completed
500046,10018,2023-10-09,completed
500047,10018,2023-11-09,completed
500048,10018,2024-01-29,completed
500049,10018,2024-03-15,completed
500050,10018,2024-08-14,completed
500051,10019,2023-01-09,completed
500052,10019,2023-01-22,completed
500053,10019,2023-02-07,completed
500054,10019,2023-04-06,cancelled
500055,10020,2023-01-05,completed
500056,10020,2023-04-23,completed
500057,10021,2023-01-26,completed
500058,10022,2023-01-10,completed
500059,10023,2023-01-20,completed
500060,10024,2023-01-28,returned
500061,10024,2023-02-07,completed
500062,10025,2023-01-05,completed
500063,10025,2023-01-12,completed
500064,10025,2023-04-21,completed
500065,10025,2023-05-26,completed
500066,10025,2023-06-24,completed
500067,10025,2023-09-06,completed
500068,10025,2023-12-20,completed
500069,10025,2024-03-10,completed
500070,10026,2023-01-05,completed
500071,10026,2023-03-15,completed
500072,10027,2023-01-26,completed
500073,10028,2023-01-14,returned
500074,10029,2023-01-08,completed
500075,10029,2023-04-13,completed
500076,10029,2023-05-07,completed
500077,10029,2023-05-15,completed
500078,10030,2023-01-18,completed
500079,10031,2023-01-15,completed
500080,10031,2023-03-21,completed
500081,10031,2023-03-24,completed
500082,10032,2023-01-08,completed
500083,10032,2023-04-12,completed
500084,10032,2023-06-04,completed
500085,10032,2023-08-08,completed
500086,10032,2023-08-15,completed
500087,10032,2024-02-29,completed
500088,10033,2023-01-17,completed
500089,10034,2023-01-04,completed
500090,10035,2023-01-23,completed
500091,10035,2023-03-23,completed
500092,10036,2023-01-13,completed
500093,10037,2023-01-10,completed
500094,10037,2023-02-09,returned
500095,10038,2023-01-01,completed
500096,10039,2023-01-21,completed
500097,10039,2023-03-17,completed
500098,10040,2023-01-11,completed
500099,10040,2023-01-14,completed
500100,10040,2023-01-25,completed
500101,10040,2023-02-09,completed
500102,10040,2023-10-06,completed
500103,10041,2023-01-17,completed
500104,10041,2023-02-22,completed
500105,10042,2023-01-25,completed
500106,10042,2023-01-30,completed
500107,10042,2023-04-14,completed
500108,10043,2023-01-09,completed
500109,10043,2023-01-18,completed
500110,10043,2023-06-22,completed
500111,10043,2023-09-14,cancelled
500112,10044,2023-01-24,completed
500113,10044,2023-04-27,completed
500114,10044,2023-07-11,completed
500115,10044,2023-07-19,completed
500116,10045,2023-01-23,completed
500117,10045,2023-02-21,completed
500118,10045,2023-03-08,completed
500119,10045,2023-07-12,completed
500120,10045,2023-09-29,completed
500121,10046,2023-01-08,returned
500122,10046,2023-08-13,completed
500123,10046,2023-11-22,completed
500124,10046,2025-01-10,completed
500125,10046,2025-02-08,completed
500126,10046,2025-02-23,completed
500127,10047,2023-01-18,completed
500128,10047,2023-01-22,completed
500129,10048,2023-01-17,completed
500130,10048,2023-03-01,completed
500131,10048,2023-04-21,completed
500132,10048,2023-04-24,completed
500133,10049,2023-01-27,completed
500134,10049,2023-02-01,completed
500135,10049,2023-03-29,completed
500136,10049,2023-05-19,completed
500137,10050,2023-01-09,completed
500138,10050,2023-03-21,completed
500139,10050,2023-04-25,returned
500140,10051,2023-01-06,completed
500141,10051,2023-02-24,completed
500142,10052,2023-01-27,completed
500143,10052,2023-05-04,completed
500144,10052,2023-09-24,completed
